property_type,location,area_marla,bedrooms,bathrooms,price_pkr
House,DHA Defence,20.0,6,7,95000000.0
House,B-17,5.0,3,4,19500000.0
House,Top City 1,10.0,5,6,37500000.0
House,DHA Defence,20.0,6,6,115000000.0
House,F-8,40.0,5,6,360000000.0
House,Bahria Town,20.0,8,6,75000000.0
House,F-7,22.0,4,5,230000000.0
House,D-12,20.0,8,7,300000000.0
House,D-12,8.0,5,6,90000000.0
House,B-17,5.0,4,5,32500000.0
House,G-11,20.0,6,6,150000000.0
House,Kuri Road,20.0,6,6,62500000.0
House,Kuri Road,8.0,4,4,28000000.0
House,Kuri Road,14.0,5,6,69000000.0
House,G-13,8.0,5,5,65000000.0
House,Top City 1,10.0,5,6,45000000.0
House,Top City 1,10.0,5,6,40000000.0
House,Top City 1,13.0,7,6,65000000.0
House,Mumtaz City,8.0,5,6,30000000.0
House,Park Road,5.0,6,6,20000000.0
House,Arsalan Town,5.0,2,3,12500000.0
House,Park View City,5.8,4,5,29500000.0
House,Lehtrar Road,5.0,3,3,13500000.0
House,F-6,22.0,5,6,235000000.0
House,F-8,20.0,5,6,260000000.0
House,F-7,20.0,5,6,330000000.0
House,B-17,5.0,3,4,33000000.0
House,MPCHS - Multi Gardens,8.0,5,6,37000000.0
House,D-12,20.0,8,6,300000000.0
House,Jinnah Gardens,10.0,4,6,47000000.0
House,Jinnah Gardens,7.0,7,4,33500000.0
House,D-17,20.0,8,6,62000000.0
House,MPCHS - Multi Gardens,5.0,5,6,26000000.0
House,DHA Defence,20.0,6,6,119000000.0
House,Pakistan Town,20.0,6,6,40000000.0
House,Lehtrar Road,5.6,3,3,10500000.0
House,Lehtrar Road,5.0,3,3,12500000.0
House,Lehtrar Road,5.0,2,3,9500000.0
House,B-17,4.7,3,3,12000000.0
House,F-6,10.0,7,7,258000000.0
House,F-7,26.0,5,5,340000000.0
House,F-7,22.0,6,6,350000000.0
House,F-6,17.8,5,5,225000000.0
House,F-7,26.0,6,6,470000000.0
House,FECHS,8.0,4,6,33000000.0
House,MPCHS - Multi Gardens,5.0,4,5,26000000.0
House,MPCHS - Multi Gardens,10.0,4,6,53500000.0
House,Top City 1,10.0,5,6,40000000.0
House,DHA Defence,52.0,7,7,300000000.0
House,D-12,10.0,6,6,117000000.0
House,B-17,7.0,6,5,34500000.0
House,Soan Garden,20.0,7,7,61500000.0
House,Soan Garden,20.0,7,7,75000000.0
